1569978292,2,0,0,"C2,C8,CK,CQ;D7,D10,D3,D8;SK,S6,S2,SA;DJ,DQ,D4,C6;DK,D6,CJ,D2;S9,S8,SQ,SJ;S5,C10,S7,S4;C3,S10,C9,C5;CA,H4,C4,H3;C7,H5,H7,H6;H10,HQ,H9,H2;H8,HA,DA,D9;HJ,D5,HK,S3"
1569978292,2,0,0,"C2,C7,CK,C9;S9,S10,S8,S4;SA,S3,SK,D3;CJ,C8,C5,CQ;C4,C10,C6,D6;D2,D9,DK,D4;CA,DJ,S5,D10;C3,D8,S2,DQ;D5,DA,S6,SJ;SQ,H5,H8,H10;S7,H9,H3,H7;D7,H6,HK,HQ;H2,HA,H4,HJ"
1569978292,2,4,0,"C2,C8,C3,C10;SA,S4,S3,SK;D5,DA,D9,D2;SQ,SJ,S6,S10;S9,CJ,CA,S7;S5,D10,DK,S8;C5,CQ,CK,C7;D4,D7,C6,D8;DQ,DJ,D6,C4;D3,C9,S2,H2;HQ,HK,H6,H10;H5,H3,HJ,H8;H9,H4,HA,H7"
1569978292,2,17,0,"C2,C4,C9,C10;DA,D6,DJ,D8;S10,SQ,S2,S7;S9,S4,S8,S5;SK,C3,C5,S6;S3,D2,CQ,D10;C6,CJ,C8,D7;CK,DQ,CA,D3;DK,SJ,D5,C7;D9,SA,D4,H7;H8,H10,HJ,H4;H3,HK,HQ,H2;H6,HA,H9,H5"
1569978292,2,3,0,"C2,C8,CQ,C6;D3,D8,D2,D9;SA,S7,SK,S4;S9,S3,S6,S2;SJ,S5,C10,S8;C3,CJ,CA,D7;D10,DJ,DA,DQ;SQ,C9,DK,D5;CK,C5,C4,D4;S10,D6,H9,H8;HK,H2,HJ,H7;H6,HA,H3,H4;H10,H5,C7,HQ"
1569978292,2,19,0,"C2,CK,C6,C5;S10,S4,S2,S6;S3,SA,SJ,CQ;D10,D3,DA,D6;S8,SK,C9,SQ;D4,D2,D8,D7;C10,CJ,CA,C4;S9,S5,C8,DK;D5,DQ,H4,D9;S7,H10,H8,C7;DJ,HK,H5,H3;HJ,H6,HA,H9;C3,H7,H2,HQ"
1569978292,2,5,0,"C2,C9,C10,C8;D6,DK,DA,D10;SQ,SA,S8,S10;CA,D8,C4,C3;D7,DQ,D3,D4;S4,SK,D9,S3;SJ,S7,CQ,S6;CK,S9,CJ,C6;C5,D2,DJ,C7;S5,S2,H2,H8;D5,H4,HA,H10;H3,HK,HQ,H6;H7,H9,HJ,H5"
1569978292,2,13,0,"C2,CQ,CJ,C5;S9,S3,S10,S6;DQ,D10,D3,DJ;SJ,S4,SK,D5;D8,D7,D4,D9;C4,C9,C6,CK;SQ,S7,D2,C3;S2,S8,C7,CA;C10,SA,DA,C8;H8,H6,H7,H3;H2,HQ,HA,H9;H10,D6,HJ,HK;H4,S5,DK,H5"
1569978292,2,14,0,"C2,C3,C4,C10;D7,D9,DQ,D5;SJ,S3,S8,S9;S6,SK,S7,S4;CA,C9,C8,C5;DA,D8,D3,D4;C7,SQ,CQ,D6;DK,D10,D2,S10;CK,SA,CJ,H10;H8,HK,H6,HJ;DJ,H5,C6,H3;S2,H2,S5,H7;HQ,H9,HA,H4"
