1571051450,2,1,3,"CJ,C10,C6,C2;D4,D2,D7,D8;D9,D10,D6,DK;S7,S3,S4,S9;S8,CK,S6,SK;C4,C7,CA,C5;C8,HK,C3,C9;S2,S10,DQ,S5;H9,H10,HQ,H4;SQ,D3,HJ,DJ;H2,H3,H5,H8;SJ,DA,H6,HA;SA,D5,CQ,H7"
1571051450,2,3,3,"CA,C4,C6,C2;DK,D4,D10,D2;H2,D6,D9,DQ;SQ,S7,SJ,SK;HQ,H9,HA,H5;C9,C5,CK,C7;D3,D5,H10,DJ;S9,D8,S5,DA;CJ,H4,S10,D7;CQ,S4,H8,HJ;C8,SA,HK,H6;H3,C10,S3,C3;S2,S8,H7,S6"
1571051450,2,8,3,"C4,C9,CQ,C2;C6,C5,CJ,C3;SK,SJ,S2,SQ;D5,D10,DQ,D6;S8,S10,S3,S4;D4,D2,D7,DK;D9,S7,D8,D3;HK,DA,HA,DJ;H9,H3,H5,H4;HJ,S9,CK,C7;CA,H2,S5,C8;H7,SA,H6,H10;HQ,S6,C10,H8"
1571051450,2,0,3,"CQ,C5,C3,C2;C7,S9,CA,C4;C8,CK,SA,C9;S4,S6,SK,S3;D10,S2,S10,SQ;DA,D6,D4,D3;D8,DQ,D9,DK;S7,D7,D5,D2;CJ,C6,HJ,C10;H9,HK,H2,H6;H3,S5,HA,S8;H4,H7,H5,HQ;DJ,SJ,H8,H10"
