1569980790,2,13,2,"C3,C7,CK,C2;DJ,D4,SJ,D10;S5,SQ,S7,SA;DA,DK,C6,D3;D7,DQ,S6,D5;CA,S2,C10,C5;D8,S4,D9,D6;S8,S9,S10,S3;C4,SK,CJ,CQ;C8,H4,D2,C9;H8,HJ,H6,H9;HQ,H3,H5,H7;HK,HA,H10,H2"
1569980790,2,17,2,"C8,CK,CJ,C2;DJ,DQ,D5,DA;D6,D9,C6,D7;SQ,S5,S4,SK;C10,CA,C5,C3;SJ,SA,S10,S2;C9,C7,CQ,S3;C4,D10,D3,S8;H7,H2,HA,HJ;H6,HQ,HK,H4;H9,H5,S9,H10;D4,D8,D2,H3;DK,S6,S7,H8"
1569980790,2,2,2,"CK,C8,C5,C2;D2,DQ,D6,D3;S7,S9,S4,SJ;D5,D8,CA,D4;DK,S5,D9,D7;C9,C6,CQ,S10;S2,S8,S3,S6;C10,CJ,C7,D10;SQ,C4,SA,H7;HK,H3,H5,HQ;H4,C3,H6,HJ;H2,DA,HA,H10;H8,DJ,SK,H9"
1569980790,2,26,2,"CK,DJ,C5,C2;SJ,S8,S4,SQ;S5,SA,D8,S7;D7,DK,D10,D3;CJ,D5,CA,CQ;S9,C4,D2,S10;C10,C6,D4,C9;C3,HA,H10,C8;SK,H4,HQ,S6;DA,H3,D6,DQ;C7,HK,H9,H7;S3,H5,HJ,H2;S2,H6,H8,D9"
