1569979566,2,0,2,"CJ,CA,C3,C2;D2,D9,D10,D8;CQ,C5,C7,C10;C4,CK,C9,C8;S9,S2,SA,S3;D7,DK,DA,D6;S8,S10,SK,S7;D4,S4,D5,D3;C6,H7,H6,S6;H3,H2,HK,HJ;H10,SJ,H9,H8;HA,SQ,H5,H4;HQ,S5,DQ,DJ"
1569979566,2,18,2,"CA,C10,C5,C2;SA,SJ,S6,S9;D3,DK,D2,D6;C9,C6,C4,D8;C7,S10,C3,S5;C8,S3,CQ,D4;CK,D10,DJ,CJ;DQ,S4,D5,DA;S2,H5,SK,S7;H3,H7,H10,HJ;S8,H9,HK,HQ;D7,H6,D9,H2;HA,H8,H4,SQ"
1569979566,2,10,1,"CK,CJ,C8,C2;D2,DA,DJ,D10;C6,C5,C10,C9;SK,S3,S4,SA;D6,DQ,D4,D9;S5,SQ,S6,SJ;D5,DK,D8,S7;C7,CQ,S10,C4;C3,CA,S9,S8;D7,HK,HJ,HA;H8,H3,H4,HQ;H10,H6,H5,H7;S2,D3,H2,H9"
1569979566,2,4,1,"C3,CK,CA,C2;S9,SA,S6,S8;D9,D3,D8,D6;C5,D5,CJ,C8;SK,SQ,C4,S3;DQ,DA,DJ,D7;S2,C9,S5,S4;D4,DK,H6,D10;H10,H8,H7,H9;HJ,H3,H2,H5;HK,SJ,HA,C10;HQ,S7,CQ,C7;H4,D2,C6,S10"
1569979566,2,0,1,"C3,C5,C10,C2;SQ,S8,S3,S9;D7,D4,D10,D5;CQ,C4,CK,C8;SJ,S7,D3,S4;DQ,DK,D6,SA;SK,D8,S10,S2;S6,C7,CJ,D2;S5,DA,C6,D9;H2,H9,H5,HJ;HA,HK,HQ,H8;H4,H7,H6,H10;H3,DJ,C9,CA"
1569979566,2,4,1,"C7,CK,C4,C2;D5,D2,DK,DA;D7,D3,D9,C5;SQ,S4,S8,S3;SA,SJ,S9,S10;S7,S5,DQ,SK;C9,C8,CJ,C3;D10,D8,S2,CA;CQ,C6,H3,C10;H8,H9,HK,HJ;H6,H4,H10,H7;HA,DJ,HQ,H5;D4,D6,H2,S6"
