1570031177,2,0,2,"SJ,C8,C10,C2;CK,C5,S4,C3;D7,DJ,D2,DK;S6,SQ,S10,SA;D10,DA,D9,DQ;SK,S9,S8,S5;S7,D6,C4,S2;S3,D4,CA,C9;D5,HA,D3,D8;CJ,H5,H10,C7;CQ,HK,HJ,H4;C6,H6,H9,H8;H7,H2,HQ,H3"
1570031177,2,13,2,"CQ,CA,CK,C2;S9,SQ,S6,SJ;S4,S8,SA,S10;D4,D5,C3,DQ;C7,C8,D6,C10;S2,DK,S3,DJ;S7,C5,D7,SK;C9,CJ,C6,D2;D10,C4,D9,D8;H6,HK,HJ,HA;H10,H5,H9,H2;DA,H4,D3,H7;HQ,H8,S5,H3"
1570031177,2,0,2,"CK,C9,C5,C2;S4,S10,SK,S9;D5,D4,D6,D2;S5,C10,SQ,DK;DJ,D8,D7,D9;SA,DQ,C3,S7;D3,D10,DA,SJ;C8,C7,C6,CQ;S8,C4,H9,S6;S2,HQ,H5,S3;HK,H7,H6,HJ;H2,H4,H10,HA;CJ,CA,H3,H8"
1570031177,2,13,2,"C4,CK,CJ,C2;S10,S6,S9,S4;D9,D8,D7,D2;SA,SQ,S3,S2;SJ,S7,C3,C10;D6,DK,D3,DQ;C9,C6,CA,S8;C7,D4,S5,SK;C5,DA,D10,HK;CQ,HQ,H5,H7;C8,DJ,H2,H10;HA,H6,H8,H4;D5,HJ,H3,H9"
1570031177,2,26,2,"C10,C9,C8,C2;S7,SK,S5,SJ;D5,DK,D9,D3;DQ,CJ,D10,D7;SQ,S9,S3,S10;C6,CK,C7,C3;C4,CA,D2,C5;D8,S2,DJ,SA;D4,H3,DA,S4;HA,H4,H6,H10;D6,H8,HJ,S6;CQ,H7,HQ,HK;S8,H5,H9,H2"
1570031177,2,4,2,"CQ,C4,C10,C2;S4,SA,S7,SJ;DQ,D9,D7,S9;DA,D5,DJ,C7;D8,D4,D2,C3;CA,CK,C6,CJ;DK,D10,D3,S3;SQ,S5,S6,C5;S2,S10,S8,H9;H5,H10,HA,HQ;H2,HJ,H8,H7;H3,D6,H4,H6;HK,C8,SK,C9"
1570031177,2,19,2,"C9,C7,CJ,C2;S9,S4,S5,S7;CA,C4,CQ,C8;D2,D8,D5,D4;D10,DK,DQ,DA;C6,CK,D6,C5;S8,D9,SK,DJ;S6,C3,D3,S3;SA,H8,C10,S10;HA,H2,H7,HJ;H10,HQ,H9,H5;HK,H4,SQ,S2;H3,H6,SJ,D7"
1570031177,2,4,2,"C4,CQ,C7,C2;S9,SJ,S3,S2;S4,S8,SA,SK;CJ,CK,C8,C3;S7,SQ,S6,S10;D6,D4,D10,D7;D8,D9,DQ,DJ;DK,C6,CA,D2;D3,C9,C5,D5;S5,HA,HJ,H7;H4,H8,H10,H5;H9,H6,HK,HQ;C10,H3,DA,H2"
1570031177,2,22,2,"C6,C7,CJ,C2;S9,S3,S8,S10;D2,D10,D4,D7;C3,D6,C5,C8;S4,D3,SA,SK;C9,DK,C4,SJ;CK,D5,D9,S5;C10,H8,DQ,SQ;CQ,H6,H2,HJ;CA,H4,D8,H5;H7,H3,H10,HQ;S2,HK,DJ,S7;HA,H9,DA,S6"
