1569982540,2,0,0,"C8,CA,CQ,C2;S10,S3,S7,S9;D7,DK,D4,D5;D8,DA,D10,D9;C7,C4,C3,C5;S2,S6,SQ,S8;DQ,C10,D2,DJ;S5,SK,CK,S4;SJ,C6,D3,SA;C9,H10,HQ,HA;CJ,H8,H2,H9;HJ,H7,H5,H4;H6,HK,D6,H3"
1569982540,2,13,0,"C5,CJ,CQ,C2;S7,SK,SA,SQ;C9,C6,C4,C3;DA,D6,D2,D8;C8,CA,CK,S3;DK,D7,DQ,D10;DJ,D3,SJ,D4;D9,S2,C10,D5;C7,S8,S9,S6;H9,HQ,H6,HK;HA,H3,HJ,H5;S10,S5,H8,H7;S4,H2,H10,H4"
1569982540,2,0,0,"C10,C9,C7,C2;CK,D3,D9,C4;S4,S7,SK,S3;D5,D7,DQ,D8;S9,SQ,S2,S6;CA,DK,D2,CQ;C5,S10,DJ,C6;C8,CJ,SA,D10;D6,C3,D4,S5;DA,HQ,S8,H7;H9,H5,H4,HA;H10,HJ,H3,H8;H2,SJ,HK,H6"
1569982540,2,4,0,"CA,CJ,C9,C2;D2,D9,D3,D8;S5,SQ,S3,S9;S2,SA,S6,SK;C3,C4,C6,C7;S10,S8,SJ,S7;D10,D5,DK,DJ;CK,C8,CQ,DQ;C10,C5,D7,DA;HA,H7,H6,H2;H4,HQ,H5,H9;HK,HJ,H8,D4;H10,D6,H3,S4"
