1570124961,2,1,0,"CA,C4,CQ,C2;D8,D4,D5,DK;SA,S3,S7,S5;C6,C10,C5,CJ;S10,S9,S6,S4;SJ,C9,S8,S2;D6,D3,DJ,D7;DA,H7,DQ,D2;D9,H5,D10,CK;HK,H4,H10,H8;C3,SK,C7,H2;SQ,HA,H9,HQ;C8,H6,HJ,H3"
1570124961,2,22,0,"CQ,C7,C5,C2;D8,DA,D9,D3;SQ,S3,S7,SJ;SA,H6,S8,S9;HK,H9,HJ,H7;HA,H10,H4,H8;S2,H5,S5,SK;S6,S10,C4,S4;C8,CA,C10,C9;DK,D10,D7,DJ;D2,DQ,D4,D6;CJ,CK,C6,H3;C3,H2,HQ,D5"
1570124961,2,0,0,"C8,C7,CQ,C2;D7,D2,DQ,DA;C10,C4,CA,C6;D9,SJ,D3,D4;S2,S6,S8,S5;DJ,D5,S4,D8;C3,C5,S3,C9;SK,D6,SA,HJ;H4,H8,H10,HK;H3,H7,HQ,H6;HA,H9,SQ,DK;S7,H2,S10,CK;D10,S9,H5,CJ"
