1569982487,2,20,2,"C10,C6,C8,C2;D3,D9,DJ,DQ;S8,SK,SJ,S2;S4,S9,S10,D8;DA,D7,D6,D10;C3,CK,C5,C7;CJ,D4,CA,C9;D2,D5,S3,DK;SQ,H5,SA,HK;H6,HJ,H3,S7;H10,H9,H8,S5;H7,H2,HQ,S6;HA,CQ,H4,C4"
1569982487,2,26,2,"C3,CJ,C5,C2;S3,S10,S9,S2;D6,D2,D10,DA;C10,CA,CK,C6;C8,DK,CQ,D5;SA,S8,SK,S4;D3,D8,DJ,S7;D9,DQ,D7,C7;D4,SQ,C9,SJ;S6,H7,S5,H2;H10,H3,H9,H6;HK,H8,H5,HJ;HA,HQ,C4,H4"
1569982487,2,3,2,"CA,C5,C6,C2;SA,S3,S5,S4;SJ,S2,S10,S8;D5,D4,DJ,DK;C10,CJ,C3,C9;D6,D9,DA,D3;S9,S7,S6,SK;C4,C8,SQ,C7;D7,D10,D8,H4;H8,HQ,D2,H2;H3,DQ,H10,H6;HK,CQ,H9,H5;HA,CK,HJ,H7"
1569982487,2,20,2,"CJ,C4,C9,C2;D10,DQ,D5,D6;CA,C3,CQ,C6;S2,SK,SQ,S4;S5,DJ,SA,S7;D2,D3,DK,D9;S3,D8,S6,S9;C10,DA,CK,C7;S10,D4,SJ,S8;C5,H2,HK,C8;H8,HA,H7,H3;H9,HJ,H4,H6;D7,HQ,H10,H5"
1569982487,2,0,2,"C8,CK,C4,C2;D5,DK,D8,D10;S7,S4,S10,S5;C10,C6,C9,C7;DJ,S6,D3,D6;CQ,CA,SK,SA;CJ,S2,S9,C3;C5,H10,S3,HQ;H5,HK,H2,H6;H3,HJ,H8,D7;SQ,HA,D2,S8;SJ,H9,D4,DA;H4,H7,D9,DQ"
1569982487,2,7,2,"C8,C5,CQ,C2;D7,D6,D2,DA;S7,SQ,S2,SK;S4,S10,S3,S8;C9,D8,C3,C10;DJ,DK,CK,D10;SJ,S9,S5,S6;D5,C6,SA,D4;D3,CJ,CA,DQ;D9,HQ,H4,H6;H5,HA,H2,HJ;H9,H10,H3,C4;H7,H8,HK,C7"
1569982487,2,24,2,"C3,C8,CJ,C2;SK,SA,S4,SJ;D5,DK,D3,D2;D6,DA,DQ,D10;C6,C5,CA,C4;D4,S2,D7,SQ;S10,C10,S7,S5;S3,H3,S9,S8;CK,HQ,CQ,C7;H6,H7,HJ,H10;DJ,HA,D8,H9;D9,H2,S6,H5;C9,H8,H4,HK"
