1571051433,2,2,2,"C7,C8,C4,C2;S9,S6,S5,S4;D8,D7,D2,DA;CK,D4,D3,DJ;HQ,D5,D9,DQ;H5,HJ,H3,H9;S7,SK,SJ,S2;C10,CJ,CA,C3;C9,S8,SQ,S3;HK,DK,H2,S10;H7,D10,C6,D6;C5,H6,H8,H4;H10,CQ,SA,HA"
1571051433,2,13,2,"C8,C3,CK,C2;CQ,CA,C5,C9;SQ,S6,S5,SK;H8,SJ,S3,S9;D5,DA,D7,D3;D10,S8,H3,S7;H7,H6,H5,H10;HJ,DK,H2,HA;HQ,S10,C10,CJ;DQ,D9,H4,HK;D2,S4,C6,C4;H9,DJ,S2,D6;SA,D4,C7,D8"
1571051433,2,0,2,"C10,CJ,C9,C2;D6,D7,DK,DA;D3,D4,D8,DQ;S3,S8,S6,SJ;C3,CQ,CK,C4;D10,H7,D2,D5;H10,C7,HQ,D9;CA,C5,SA,C6;HK,S5,S2,C8;S4,SQ,H9,SK;H3,H2,HJ,HA;H8,S9,H4,S10;H5,S7,DJ,H6"
1571051433,2,3,2,"CK,C10,CQ,C2;C3,C4,CA,C8;C6,C9,D7,C5;S10,S9,S7,S3;S5,SQ,S6,S8;SJ,S2,HQ,S4;DK,H5,H6,HJ;DQ,CJ,D9,C7;DA,DJ,D6,D8;H4,D2,H8,H3;H2,H10,D3,H7;D4,D5,SK,D10;SA,HK,HA,H9"
1571051433,2,24,2,"C10,C5,C7,C2;CJ,C9,C6,C8;HK,S9,S8,SK;D3,DA,D4,D7;S4,S3,HA,S6;D9,D8,D10,DQ;HJ,H2,H6,H9;DJ,H7,DK,HQ;S2,H10,S5,S7;D2,D5,CK,D6;S10,H8,C3,CQ;SA,H3,C4,CA;SQ,H4,SJ,H5"
1571051433,2,18,2,"CJ,C7,C8,C2;S2,S9,S7,S6;DQ,D5,D10,DA;C3,C5,CQ,C6;SJ,S4,S3,S10;CA,C9,D3,C4;SK,SA,HK,S5;H8,D8,HA,S8;H10,H9,H4,H5;DK,HQ,D2,D4;H2,H6,D6,DJ;H7,H3,D7,D9;HJ,SQ,CK,C10"
1571051433,2,22,2,"C10,C4,C6,C2;SQ,S4,S9,S6;D8,DQ,D4,D5;S7,S8,SJ,S5;C9,C3,CA,CK;C7,C8,CQ,C5;D6,DA,D2,DK;S3,DJ,D9,D10;H10,HK,HQ,H3;HJ,H5,SA,S2;S10,HA,H6,SK;D3,H4,H7,H8;CJ,H9,H2,D7"
1571051433,2,15,2,"C5,C6,C8,C2;D3,D6,D8,D7;C9,CK,C10,CJ;CQ,CA,DK,C3;H2,D9,DA,D10;SJ,S9,S4,S10;HA,D4,DJ,D2;SA,SQ,S8,SK;H9,H10,HQ,H3;D5,H8,H7,DQ;S6,S7,C7,S2;H4,S5,H6,HK;C4,S3,HJ,H5"
1571051433,2,1,2,"C7,CK,C5,C2;C9,C10,C6,CA;S3,S8,SK,S2;D10,D4,D5,D7;SJ,S5,SA,S6;DK,DJ,D8,D9;HA,SQ,S9,S10;DA,H3,H7,S7;H10,HJ,C8,S4;H5,H2,H4,H6;CJ,HQ,C4,C3;HK,D2,CQ,H8;D6,DQ,D3,H9"
1571051433,2,5,2,"C3,C7,CJ,C2;S10,S7,S3,S2;D9,DQ,D3,D8;C6,C8,CA,C10;DA,D10,D5,D6;CK,H2,C5,CQ;S6,S4,H6,SJ;SA,D4,D7,DK;S8,HA,HQ,C9;S9,D2,H10,SK;SQ,H5,HK,S5;H4,H8,H7,HJ;DJ,H9,C4,H3"
