1569982484,2,8,0,"C6,C3,CA,C2;DJ,D9,D4,DQ;C5,C10,CK,C8;S7,S4,S8,S9;D6,D8,D7,D10;CQ,CJ,C7,SJ;S10,SK,S2,SA;S5,D3,S6,S3;D5,DA,H7,D2;HK,H8,HA,HJ;H10,H6,H4,H2;H9,HQ,H5,SQ;H3,C4,DK,C9"
1569982484,2,0,0,"C5,C8,CQ,C2;D9,D5,D10,D4;CK,C7,CJ,C9;D2,DK,DA,D7;C10,S9,CA,C3;S10,S2,S8,S6;SA,S7,S5,D8;SQ,SJ,S4,C4;SK,S3,H4,H6;H9,H8,HA,HJ;HQ,C6,H3,HK;DJ,D6,D3,H10;H2,DQ,H5,H7"
1569982484,2,2,0,"CA,DA,C7,C2;C9,S3,C3,C8;D3,DJ,DK,D7;S9,D2,SA,S8;S6,DQ,S4,SQ;D9,D10,D8,D5;CJ,CK,C6,S10;SJ,H10,S5,HQ;H2,H9,H6,H8;C10,C5,H4,H3;D6,D4,S7,H5;HA,H7,SK,HK;CQ,C4,S2,HJ"
1569982484,2,8,0,"CK,C5,C10,C2;D9,DA,DJ,DQ;SQ,S5,D10,SK;D3,D5,D8,C7;C4,D2,CA,CQ;D7,S3,C6,S2;D6,S10,C3,S6;S8,SA,H10,S7;H5,H3,H4,H6;C9,HJ,CJ,H8;DK,SJ,H2,HK;D4,C8,H7,HA;S9,S4,H9,HQ"
1569982484,2,4,0,"C7,C8,C4,C2;S8,SJ,S3,S2;C6,C3,CA,C9;DA,D6,DJ,D8;DQ,D3,D9,D2;S9,C5,S6,S5;SA,CJ,CK,S4;D5,D10,D7,DK;S7,CQ,C10,D4;SQ,H7,HK,H4;H3,H9,H5,H2;H8,HJ,H6,SK;HQ,HA,S10,H10"
1569982484,2,8,0,"C7,C6,CJ,C2;D10,D5,DJ,D2;DQ,D4,D3,D7;SJ,S8,SQ,S6;S9,S4,S10,S2;CA,D9,C4,C3;C9,DA,SA,CQ;C10,SK,S3,C8;D8,H6,D6,DK;HK,H8,HJ,H4;HQ,HA,H10,H9;H2,S7,H5,H3;C5,H7,CK,S5"
1569982484,2,5,0,"C5,C9,CQ,C2;DQ,D9,D4,D10;CJ,C6,CK,C10;S10,S3,S4,S2;S9,S5,SK,S7;DA,D2,DK,SA;C7,C3,C8,SJ;DJ,D8,S8,C4;D7,D3,SQ,H5;HJ,HA,HK,H4;S6,H6,H9,H8;H3,D5,H10,H7;HQ,CA,D6,H2"
