1571051451,2,0,3,"CA,CQ,CJ,C2;C3,H6,C4,C9;C7,H7,C5,C8;DA,DK,D7,D6;D3,D8,D5,D9;H8,HK,HA,HJ;D2,D10,D4,DQ;S7,S6,S3,S8;S9,SA,S2,S4;H9,DJ,H4,H10;S10,S5,C6,SJ;H5,CK,H2,HQ;H3,SK,C10,SQ"
1571051451,2,22,3,"CK,C3,C5,C2;D3,D5,DQ,D4;S9,SJ,S4,S8;C6,CQ,C8,CJ;D2,HA,DJ,D9;HQ,C7,H7,C9;S10,H8,HJ,CA;S5,D7,S3,S6;H10,H2,H4,H6;H3,SQ,SK,S2;D10,D8,HK,DK;D6,H5,H9,C10;S7,DA,SA,C4"
1571051451,2,0,3,"C6,C3,C10,C2;S5,S9,S6,SA;D7,DQ,D9,DK;S7,S10,C7,S4;D4,D3,H4,D5;H6,H2,H5,H8;HK,SQ,S3,SK;H10,HJ,HA,H7;C4,CQ,CJ,CA;S2,D8,D6,SJ;C5,C8,HQ,CK;DJ,H3,D10,S8;C9,DA,D2,H9"
1571051451,2,14,3,"C7,CJ,C4,C2;S2,S9,S4,S10;D9,D7,DJ,D3;S8,S3,S5,S7;H2,CA,SK,SA;C3,C9,C8,C6;H4,HA,H6,HK;H7,H8,CK,HJ;H5,D4,S6,SJ;H9,H3,CQ,H10;D2,D8,D6,D5;SQ,C10,C5,HQ;DA,DQ,DK,D10"
1571051451,2,26,3,"C10,C8,C4,C2;D5,D7,DQ,D2;D6,C6,C5,C3;DK,D3,DA,D4;SJ,S8,S6,S4;HA,D10,H9,D9;SK,CA,CJ,C9;S3,S10,S2,S9;S7,SA,SQ,D8;HJ,S5,C7,CQ;H3,HK,H2,DJ;H8,H10,H7,HQ;H5,H6,H4,CK"
