1571051490,2,21,2,"CQ,C10,C5,C2;C9,CK,C3,C7;S6,S10,S4,S2;H2,D5,DJ,D9;H4,H5,HK,H7;HQ,H8,H3,H6;S7,S3,SK,S8;D8,D2,C4,D4;DA,CJ,HJ,CA;DK,C6,SQ,C8;D6,H9,D10,H10;D7,SJ,S5,S9;SA,DQ,D3,HA"
1571051490,2,7,2,"C6,CQ,C9,C2;SJ,S6,S5,S2;S10,DJ,S8,SK;DA,D9,D2,D7;D10,DQ,C4,D4;S9,S4,H6,SA;H2,H7,HA,H8;CK,SQ,C10,C5;H10,D6,HK,HQ;S7,S3,C8,C3;D5,H4,H5,CA;D8,D3,HJ,C7;DK,H9,H3,CJ"
1571051490,2,25,2,"CQ,C10,C3,C2;S3,S2,SK,S8;D9,D5,D2,D4;DK,D3,D10,DJ;C7,C9,H8,C4;S7,SA,HJ,S5;D7,SQ,D6,D8;H4,H7,H6,H10;CK,S6,H5,DA;CJ,C5,S9,S10;CA,HQ,H3,DQ;C8,H9,HK,HA;C6,H2,S4,SJ"
1571051490,2,13,2,"C8,CQ,C9,C2;DJ,D2,DK,D9;D7,D10,DA,D5;S7,SQ,S4,S6;S10,S8,SK,S9;D3,C7,D8,DQ;CJ,C4,CK,C3;D6,C5,H2,C10;S5,H3,H10,CA;SA,S3,H6,S2;H8,H4,H9,HA;D4,H5,H7,HQ;SJ,HK,C6,HJ"
1571051490,2,1,2,"C6,CA,C8,C2;DQ,D8,D2,D10;S6,S4,SJ,SK;CK,C7,C9,C10;D6,D9,DA,D3;DK,S10,SA,SQ;C4,C5,S9,CJ;S7,HJ,S5,S2;CQ,DJ,H3,C3;D4,H4,HA,D5;HK,H5,HQ,D7;H6,H8,S8,H10;H9,H7,S3,H2"
1571051490,2,6,2,"CJ,C3,CQ,C2;C8,C9,C7,C6;DA,DK,D8,DQ;S9,SK,SQ,SJ;D9,CK,C10,C4;S2,S3,S7,S5;HK,D6,D2,D7;H2,C5,D4,D5;H8,H9,H3,H5;H10,HJ,H4,H7;S10,S6,DJ,D3;D10,S4,HA,HQ;CA,SA,S8,H6"
1571051490,2,4,2,"C8,CK,C6,C2;S2,S5,S8,S4;D3,D6,D7,D2;C3,CA,SQ,C9;DA,D10,S10,DK;SK,S3,S6,SJ;CQ,SA,HJ,CJ;H7,H3,H10,H9;H2,H4,HA,H5;C7,C4,S7,S9;C10,HQ,D8,D4;DQ,C5,HK,DJ;H8,H6,D9,D5"
1571051490,2,1,2,"C7,C9,CK,C2;D9,DJ,D5,DK;SA,S5,SJ,SQ;DQ,D3,D6,D4;SK,S8,S9,S4;D2,C8,H3,D8;H7,HQ,H6,H5;H4,C4,C5,C10;H9,DA,H2,HJ;HA,C6,CJ,C3;S10,S2,D10,S6;HK,CQ,S7,CA;H8,D7,S3,H10"
1571051490,2,25,2,"C4,C6,CK,C2;C7,C5,C3,CJ;HK,CA,DQ,CQ;DA,DJ,D2,D6;C9,SJ,S10,S9;S2,S7,D8,S6;D9,S3,S8,S4;D7,DK,D4,D10;H4,H5,H3,H7;H9,H10,SK,HQ;SQ,HA,D5,C8;H8,H6,S5,HJ;H2,D3,SA,C10"
