1569982456,2,13,2,"C6,CQ,C9,C2;S7,S6,SQ,S9;D8,DA,D6,D7;D2,DK,DQ,D3;D4,D10,D9,D5;S5,SJ,S8,S2;C8,CJ,C3,CK;C4,C10,CA,C5;S4,C7,S10,SK;HA,H3,H5,HQ;H2,H6,H10,SA;HJ,H9,H4,S3;HK,H7,H8,DJ"
1569982456,2,7,2,"C3,C10,CJ,C2;S8,S5,SK,SA;D8,D9,D5,DA;C9,C4,C7,CQ;S3,S4,D6,S9;D10,DK,DQ,DJ;D4,D7,D2,S2;D3,CK,CA,SQ;HQ,H4,H2,HK;H5,H8,H3,H9;HJ,C8,C5,H6;H10,S6,S10,HA;SJ,S7,C6,H7"
1569982456,2,13,2,"CA,C7,CJ,C2;S6,S9,SQ,S3;D8,D3,D6,D2;S2,S8,S5,SK;DQ,DK,DA,D7;C10,C9,C5,C6;D5,C8,D9,D4;S10,SA,DJ,S4;CK,D10,C3,S7;CQ,HK,C4,H4;HJ,H9,H5,H8;H3,H6,H7,HA;HQ,H10,SJ,H2"
1569982456,2,3,2,"C5,CA,C4,C2;S5,S7,SQ,S2;SK,S4,S10,S9;CJ,C7,C9,C3;CQ,DJ,C8,C6;D10,D9,D3,DA;D5,D4,SA,D2;CK,DQ,S3,S8;C10,H10,H3,HQ;H7,HK,H5,H8;D6,HA,DK,HJ;S6,H4,SJ,H6;D8,H9,D7,H2"
1569982456,2,0,2,"C6,C4,CA,C2;D3,D9,D6,D7;S7,S5,SK,S8;C10,C5,CK,C3;DK,D2,D4,DA;S10,SQ,S2,SA;DQ,D5,CQ,D10;SJ,S6,S4,S3;DJ,CJ,C9,D8;H3,HK,H5,H10;HJ,HQ,H2,HA;C7,H9,H8,C8;H6,S9,H4,H7"
1569982456,2,19,2,"CQ,C3,C9,C2;SJ,S4,SQ,S10;D10,DA,D6,D2;S8,SK,SA,S9;DQ,D8,DJ,DK;D7,D5,S3,C7;C5,CA,CK,C6;D3,D9,S5,S2;C8,H10,H2,HA;H7,HK,H5,H4;H6,C4,H3,H9;S6,HJ,CJ,S7;H8,HQ,C10,D4"
1569982456,2,4,2,"CK,C8,C9,C2;D2,DJ,D8,D5;D10,D7,D9,D3;C3,C4,CQ,CA;S3,SA,S10,S7;D6,C6,DK,D4;SK,S8,S4,S6;C7,CJ,C10,SQ;DA,HK,HJ,DQ;H3,H2,H9,H8;H5,H10,H4,SJ;S5,H6,HQ,S9;S2,H7,HA,C5"
1569982456,2,4,2,"D7,CK,C9,C2;DQ,D3,D8,D4;D2,DJ,D9,D6;D10,DA,D5,S5;SJ,SA,S2,S10;S7,SK,S9,C10;C5,C8,S3,C7;S8,DK,SQ,CA;S4,CQ,S6,C6;HJ,HA,HK,H2;H5,HQ,H3,H4;H10,H7,H8,C3;H9,CJ,H6,C4"
