1571051220,2,5,2,"C9,CQ,CK,C2;CA,C5,C6,C10;DA,DK,D9,D6;S9,SK,SQ,S5;HA,C4,C3,C8;DQ,D2,H2,D4;S10,S8,S7,S3;H8,H4,HQ,H5;D8,S4,D7,D10;S6,H3,HK,S2;H10,H9,HJ,SJ;CJ,H6,DJ,D5;SA,H7,C7,D3"
1571051220,2,17,2,"C6,C8,S5,C2;SA,CQ,C3,C5;C9,CA,D3,C7;DQ,S10,C4,C10;SQ,D10,S2,S3;DA,S8,S4,S7;HQ,D9,D2,CJ;D5,H7,D7,DJ;H8,H5,H9,H3;H2,H6,H10,H4;D8,HA,S9,HK;S6,HJ,D6,DK;SK,SJ,D4,CK"
1571051220,2,3,2,"C8,C4,C3,C2;D8,D6,D4,D3;S7,SJ,SA,S8;D2,HK,D7,D5;D10,D9,HA,DA;S10,S4,S3,S5;H8,H2,H10,H9;C5,H7,C9,CJ;CK,HJ,C6,C7;H3,S2,DJ,H5;H6,SK,DQ,H4;S6,CQ,HQ,SQ;C10,CA,DK,S9"
