1569982505,2,0,0,"C10,C4,C8,C2;D2,D7,D3,DA;C9,D5,C6,C3;C5,S10,C7,SJ;S6,S7,S3,S5;D4,DQ,S4,CQ;D9,D10,SK,CJ;D8,D6,S8,SQ;DK,S9,CK,CA;DJ,H6,H2,H10;H3,H4,HJ,H8;S2,H7,HA,HQ;SA,HK,H5,H9"
1569982505,2,5,0,"C5,CK,CA,C2;SA,S3,S6,S10;D4,DQ,D5,D6;CQ,C7,C10,C9;C4,C3,SK,S7;C6,C8,SQ,S9;S5,S8,D3,S2;DA,CJ,D10,D8;DK,H3,D2,DJ;H10,HK,H5,HJ;H6,H2,HQ,H9;S4,D7,H4,SJ;H7,D9,H8,HA"
1569982505,2,8,0,"CJ,CK,C8,C2;D2,D3,D7,D6;S3,S2,S5,S9;SA,S6,S10,SK;D8,D9,DJ,D10;S8,C10,SJ,S7;C5,CQ,CA,C7;C6,HJ,DA,HA;C3,H2,H8,H4;C4,H5,DK,HQ;C9,HK,D5,DQ;H6,H7,H10,D4;SQ,H9,H3,S4"
1569982505,2,4,0,"C7,C10,CJ,C2;DK,D9,D10,DA;DJ,D7,D4,D6;CK,C9,C8,S2;D2,S8,C4,D5;SK,SA,SQ,S6;S4,C5,S3,S5;DQ,HQ,H5,D8;H3,H7,H4,HK;CQ,CA,HJ,H10;S9,H9,S7,SJ;H8,H2,C6,H6;D3,HA,C3,S10"
1569982505,2,0,0,"CA,C4,C9,C2;DA,D6,D2,D3;SJ,S9,SQ,S5;D4,C3,D5,D9;CK,C10,CJ,C8;D8,D10,C7,SK;SA,C6,S10,S3;S7,D7,HK,S8;CQ,HA,H7,H8;C5,H4,HJ,H6;S2,H5,H2,S6;S4,DQ,H9,H3;DK,DJ,HQ,H10"
1569982505,2,0,0,"C9,CA,C7,C2;DQ,D6,D3,D8;S10,S6,S7,SQ;S3,S5,S2,C6;CK,C8,CJ,C5;D9,DJ,D7,DK;CQ,SK,C10,C3;D4,D5,D2,DA;S4,SJ,S9,H6;H5,H8,HA,H10;HQ,HK,H9,H2;C4,H7,SA,H4;HJ,H3,D10,S8"
1569982505,2,2,0,"CA,C4,C10,C2;S7,CJ,S4,S6;D4,D10,D9,DJ;S8,C8,SK,S9;C3,CQ,D7,C5;D5,D2,D3,DK;DA,C9,D6,H9;H8,H5,H6,H3;S10,HA,SJ,H4;S5,C6,HJ,SQ;S3,C7,H10,HK;SA,H7,H2,D8;S2,CK,HQ,DQ"
1569982505,2,4,0,"C5,C10,C3,C2;S7,S6,S8,SA;S4,S3,S5,SK;DQ,DJ,D4,DK;S2,S10,DA,SQ;CQ,D3,C6,C4;CK,SJ,C9,CA;D9,D8,D5,C7;S9,D2,D6,C8;D7,HJ,D10,H10;H2,HA,H3,H9;H6,H5,H7,H8;HK,H4,CJ,HQ"
1569982505,2,3,0,"C8,C4,CA,C2;C7,C10,C5,C6;DK,D5,D4,DQ;DJ,CK,D8,D10;D3,SK,S5,D6;S2,S8,SA,D2;S10,S3,DA,S4;SJ,CJ,C9,SQ;D9,HA,C3,S9;H8,HK,H5,H9;H2,H3,HQ,S7;H6,H7,H4,CQ;D7,H10,HJ,S6"
