1570124978,2,19,2,"C3,C9,C4,C2;S10,S2,S6,S3;SQ,S7,S5,S9;DQ,DA,D4,D10;D6,D9,D3,H5;H2,H9,HQ,HJ;HK,H8,HA,S8;D8,D5,DJ,CQ;H6,DK,D2,SA;H3,D7,C6,S4;H7,C10,C8,C7;H10,SJ,SK,CA;H4,C5,CK,CJ"
1570124978,2,16,2,"CK,C5,C9,C2;SK,S7,S5,S9;C10,CJ,C7,CA;D4,DK,D2,DJ;D3,DQ,D8,D10;D7,H7,DA,D5;H5,H4,HQ,H9;H10,H2,HK,HJ;CQ,C3,D9,C8;SA,S2,S10,S8;C4,C6,S3,HA;S4,S6,SJ,SQ;D6,H8,H3,H6"
1570124978,2,8,2,"C5,C8,C6,C2;S4,S7,S3,S6;SA,S10,S5,S9;D6,D5,DA,D4;C9,C4,CK,C10;SK,SQ,SJ,D2;DJ,D9,D10,D8;S2,H2,S8,CA;HA,H8,H6,H4;D7,H3,DQ,H7;CQ,CJ,H10,H9;C3,DK,HK,HJ;C7,D3,H5,HQ"
1570124978,2,0,2,"C3,C6,CA,C2;SQ,S9,S10,S3;CJ,C9,C4,CK;D5,DJ,DQ,D6;S6,C10,S4,SK;CQ,H4,C8,C5;H6,H7,H8,H9;SJ,C7,S7,D10;SA,D7,H3,DK;HA,HQ,H5,H10;S5,D3,D4,HK;S2,DA,D2,D9;S8,HJ,D8,H2"
1570124978,2,14,2,"C9,C6,C5,C2;S2,S4,S3,SJ;CJ,C3,S6,CQ;D9,DJ,DA,D4;C7,C4,CK,HQ;H2,H6,H5,H4;S9,S5,SA,S7;D6,D8,D3,D7;C10,CA,H7,SQ;HK,HJ,HA,DK;H9,H8,H10,D2;SK,H3,S8,S10;C8,D5,DQ,D10"
