1570125010,2,0,3,"C7,CJ,C4,C2;D10,D3,DJ,D4;S10,SA,SQ,S6;D5,D8,DK,D9;S5,S3,S9,SJ;C8,S4,C9,C5;D7,DA,D2,C10;C3,D6,S8,C6;CQ,CA,HJ,HQ;H10,H9,H7,H2;H6,H3,H8,HK;DQ,H5,S2,HA;H4,S7,CK,SK"
1570125010,2,8,3,"C7,C4,CA,C2;S7,SA,S4,S5;D5,D10,DJ,D2;CJ,C6,C10,C3;DQ,D7,D4,D3;CQ,C8,S3,SQ;D8,DA,S9,D6;CK,H7,H9,D9;C9,HK,H4,S10;S8,H2,S6,SK;H10,HA,H5,HQ;S2,H3,H6,SJ;HJ,C5,DK,H8"
1570125010,2,1,3,"C10,C5,CJ,C2;DA,D10,D7,DJ;S7,S5,SA,SK;S10,S8,S2,SQ;S6,H3,S4,S3;DK,D2,D5,DQ;SJ,H5,S9,CQ;D4,CA,D9,D6;H2,HA,H8,H7;D8,CK,H6,C3;HK,H10,HQ,H9;C7,C8,H4,C6;C4,D3,HJ,C9"
1570125010,2,17,3,"C7,CQ,C3,C2;S10,SK,SQ,S5;SJ,SA,D5,S7;S8,S4,C4,S9;D2,DA,D7,D8;CJ,CK,H8,C9;H3,H2,H6,HQ;D9,DQ,D6,DK;HJ,H7,H10,H9;D3,D10,D4,S2;C10,HA,C8,H4;C5,DJ,CA,H5;HK,C6,S6,S3"
1570125010,2,0,3,"C9,C7,C10,C2;S8,SQ,S9,S3;SJ,S4,SA,S5;SK,S2,CJ,S10;D4,D10,DK,DQ;C6,CQ,C4,C8;S7,D3,H2,S6;H8,HQ,HA,H9;CK,DJ,CA,D5;H7,D2,H10,H3;H4,HJ,DA,H6;HK,H5,C5,D7;C3,D6,D8,D9"
1570125010,2,0,3,"C10,C5,CK,C2;D3,D4,D5,D8;D9,D2,D7,DK;D10,DA,D6,DJ;S4,S3,S9,S7;S8,C3,SK,S5;S10,S2,H4,SQ;H2,H3,H7,HJ;CQ,C8,C9,C6;C4,HA,HQ,HK;CA,DQ,SJ,S6;C7,H6,SA,H9;CJ,H8,H5,H10"
1570125010,2,0,3,"C3,C4,C10,C2;D4,DQ,D3,DA;CQ,H3,C6,CJ;H2,H4,HA,H6;CK,CA,D10,C5;D8,C8,D5,D2;D6,H8,D9,S2;D7,S10,S3,S6;DJ,HJ,C9,HQ;H9,H7,HK,H5;SJ,SK,SA,SQ;S7,S9,S4,S8;C7,H10,DK,S5"
1570125010,2,4,3,"C9,CA,C4,C2;S8,S3,S5,S10;S6,S7,SA,S2;DJ,DA,D7,DQ;SQ,S9,CQ,SK;D5,D4,D8,DK;C3,C8,CK,C10;S4,H6,SJ,C5;H3,HA,H5,H8;H10,HK,HQ,D6;D3,H4,D10,D9;C7,H9,H7,CJ;D2,C6,HJ,H2"
1570125010,2,6,3,"CA,C6,C5,C2;SA,SJ,S5,SQ;S10,S7,S8,S6;CQ,C8,CK,C4;S2,SK,S4,H10;HJ,H2,H8,DA;H3,H4,H5,D6;D9,D4,D10,D8;S3,C10,C7,DK;S9,D5,C3,D2;DQ,D7,H7,D3;HK,HA,H6,DJ;C9,HQ,H9,CJ"
1570125010,2,4,3,"C10,C6,CQ,C2;S6,SA,S10,S7;S3,S4,S2,S8;D6,D3,DK,D5;S5,SJ,SQ,D2;CK,H4,C5,CJ;H5,H10,H7,H2;DJ,SK,DQ,D8;D10,DA,CA,D4;D7,D9,H6,C7;HA,H9,C3,HJ;H8,H3,C4,HK;C8,HQ,S9,C9"
