1571051340,2,3,3,"C8,C10,C9,C2;CQ,CK,S10,C3;S5,S2,S9,S7;CJ,SJ,HJ,C5;H2,H4,H8,HQ;D7,D3,D8,D2;DK,D6,D9,D4;S6,S8,SQ,SA;H9,DA,C6,CA;H6,H5,D10,H10;D5,DJ,C4,DQ;HA,HK,C7,H7;SK,S4,H3,S3"
1571051340,2,1,3,"C3,CA,C8,C2;DK,D4,D9,D2;DA,DJ,D7,DQ;SK,S4,SQ,S5;C7,C5,C6,C10;S6,SJ,S7,S2;HQ,S10,D6,D3;HA,H8,H9,H10;CK,H5,H3,C9;H4,HJ,H6,HK;S3,SA,CQ,CJ;H2,S9,D5,D8;S8,H7,D10,C4"
1571051340,2,0,3,"CQ,C7,C10,C2;DK,D7,D8,D2;C6,C8,CK,C9;S4,SJ,S8,S5;SQ,S10,S7,S6;D9,SK,DJ,D3;CA,D10,S3,S2;CJ,DQ,D4,C3;D6,H9,C5,C4;H2,H7,H6,H8;H3,H5,H4,HJ;SA,D5,H10,HK;S9,DA,HQ,HA"
1571051340,2,0,3,"CJ,C4,CQ,C2;S8,S6,S3,S9;H10,S4,SQ,S10;H5,H3,H9,H7;DQ,DA,D9,D5;DK,D7,D2,DJ;CA,C8,C9,C3;C5,D4,D6,D3;H8,HA,CK,D8;SA,C6,SJ,C7;H6,HK,H2,HQ;S2,HJ,S5,C10;S7,D10,SK,H4"
1571051340,2,14,3,"CJ,C4,C5,C2;S2,S9,SQ,S3;S7,S8,SA,SJ;S5,DK,S10,S4;CA,C7,C8,CK;D9,D8,D4,D6;C6,C9,H3,CQ;H7,HJ,H8,H2;D2,D3,DJ,D7;C10,H6,H9,H10;DA,H4,H5,HQ;D10,D5,HK,DQ;SK,S6,HA,C3"
1571051340,2,0,3,"C3,C6,C5,C2;C4,C9,CA,C8;S10,S9,S8,S5;D4,S2,S7,SJ;DQ,D3,D6,D7;DK,C10,HA,CK;DJ,D9,H3,D10;H8,HJ,H6,HK;HQ,S3,D5,S4;H7,H9,CQ,H5;DA,SK,CJ,SA;D2,H2,H4,S6;C7,H10,D8,SQ"
1571051340,2,1,3,"CA,C9,C4,C2;DJ,D5,D8,DK;HK,D4,D6,D10;H4,HA,H5,H7;S9,S8,S5,SQ;H2,H10,H8,HQ;S4,H3,S2,S10;D9,DQ,CQ,DA;C3,C5,C7,C8;S3,CK,S6,SK;D3,D2,S7,D7;C6,H6,H9,SJ;C10,CJ,HJ,SA"
1571051340,2,19,3,"C7,C10,C4,C2;S4,S8,S3,S6;SJ,S10,S9,SQ;DK,D2,D6,D7;D5,DA,D8,D9;CK,CQ,C9,C3;CA,C8,C5,C6;H6,D4,HK,DJ;H10,H5,HJ,H3;HQ,H2,H9,H7;SA,DQ,HA,CJ;SK,D10,S5,S7;D3,H8,S2,H4"
1571051340,2,4,3,"C6,C5,CJ,C2;D5,D4,D7,D8;SJ,S2,S8,SA;C4,C7,CK,C3;DA,D6,D10,DJ;H5,CA,DK,C8;S9,SK,S5,S6;H8,H6,H9,H10;HA,C10,D9,C9;H3,H2,HJ,H7;S3,S7,HK,S10;H4,D2,HQ,S4;D3,DQ,CQ,SQ"
