1569979551,2,6,2,"CA,C10,C8,C2;D10,D6,DK,DA;SA,S7,SK,S8;C9,CK,CJ,C5;S9,S4,SJ,D4;C6,C7,D7,C3;DJ,D2,D5,D9;D3,S10,D8,S5;DQ,H5,H6,H7;HA,H10,HQ,CQ;H3,HJ,H8,SQ;S2,H4,S3,H9;C4,HK,S6,H2"
1569979551,2,17,2,"CA,C3,C4,C2;C6,C8,CQ,CK;C10,C7,SA,SQ;DJ,D7,D10,D9;DA,DQ,D2,DK;C5,C9,D8,SJ;S10,S2,SK,S7;D4,D6,D5,S3;S4,S6,D3,S8;CJ,S9,H4,S5;H2,H9,HK,H3;H6,H8,H7,HA;H10,H5,HQ,HJ"
1569979551,2,15,2,"C3,CJ,C4,C2;SJ,S4,S2,SK;S5,S6,S9,SQ;D5,D3,DA,D10;DJ,DQ,D9,D4;C5,D7,C6,CK;C9,C7,SA,S7;CA,CQ,D6,S10;D2,HQ,DK,H2;H9,H4,H10,HA;HJ,S3,H8,H3;HK,S8,H7,H5;C8,C10,H6,D8"
1569979551,2,10,2,"C9,CA,C4,C2;SQ,SA,S6,S8;D8,D4,D3,D7;D5,D6,S10,DA;S2,SJ,S3,C6;C8,C3,CJ,D2;S4,SK,S5,D9;S7,C10,DK,S9;C7,CQ,DJ,C5;DQ,HK,HJ,H4;H2,H10,H3,HA;HQ,H9,H6,H8;H7,CK,H5,D10"
1569979551,2,7,2,"CJ,CK,C4,C2;S6,S8,S3,S4;CQ,C10,C3,C5;SJ,SA,S2,S9;DJ,D3,D6,D8;D10,CA,D4,D9;C8,SQ,D2,C7;C6,SK,DK,S10;C9,H2,D7,DA;H10,H4,HJ,HQ;DQ,H8,H3,HA;S5,H9,H6,S7;H5,H7,HK,D5"
1569979551,2,13,2,"CA,C9,CJ,C2;S7,SJ,S2,S10;D6,D2,D7,D4;C8,S3,C7,C3;D5,DJ,D10,S4;S8,SQ,SA,S5;DQ,D9,DA,C10;HQ,H4,C5,H9;H6,H3,CK,H7;HJ,CQ,DK,H8;HK,S6,D8,H10;H2,C6,C4,H5;HA,SK,S9,D3"
1569979551,2,1,2,"DJ,C4,CA,C2;D6,D2,DA,D4;DQ,D5,D8,D7;S7,SQ,S8,S9;CK,C6,C10,DK;S4,SA,S6,H10;CJ,C5,H8,CQ;HJ,HK,H7,HA;HQ,H4,D10,C3;H3,H2,C8,SK;H9,C7,S2,S10;H6,C9,S3,SJ;H5,D3,D9,S5"
1569979551,2,3,2,"C9,C10,C3,C2;SA,S8,S2,SJ;S3,S9,SQ,S6;CA,C5,C8,CK;D9,D5,DJ,DK;D6,D4,D10,D2;S4,S10,S5,C4;C7,D7,C6,CQ;SK,S7,D8,DA;HK,H7,H4,H5;HA,DQ,HQ,H6;H10,CJ,H2,H8;H3,D3,HJ,H9"
1569979551,2,22,2,"C8,CK,CA,C2;DQ,D9,D10,D7;S4,S9,SA,SQ;C5,CJ,C9,C7;S3,S5,S7,S2;CQ,C10,SK,C3;S6,S10,SJ,DA;D6,D5,D8,DJ;C6,S8,D2,D3;C4,H10,H7,H6;H5,H2,H8,H3;H9,HJ,HA,HQ;DK,HK,H4,D4"
1569979551,2,17,2,"C8,CA,C10,C2;SQ,S4,S7,S3;DJ,DA,D9,D10;DQ,D8,D5,DK;SA,S9,S10,SK;C6,C9,C5,C4;D7,D6,D2,D3;S5,S6,SJ,CJ;CQ,C3,H10,S2;H5,H6,H3,H4;HJ,HA,H2,HQ;H9,CK,H8,HK;D4,S8,C7,H7"
