1569982493,2,17,2,"C10,C9,C4,C2;CA,C6,S8,CQ;SK,SJ,S3,S7;D5,D6,D2,DQ;D4,D3,D7,DA;S5,SQ,S2,S10;S6,SA,DK,S9;S4,H8,CJ,H5;H4,H6,HJ,H10;C3,C8,HA,H9;CK,HK,C7,H7;D9,DJ,D8,HQ;H2,C5,D10,H3"
1569982493,2,12,2,"CA,C3,C9,C2;D5,D2,D7,DK;S4,S3,SA,S2;S5,S8,SJ,SQ;C8,DA,C6,C10;D6,S10,D10,DQ;D9,CQ,D3,D4;S6,S7,DJ,S9;CK,C5,H7,CJ;H2,HQ,HK,H8;HA,H10,H9,HJ;H5,C7,H3,D8;H6,C4,H4,SK"
1569982493,2,0,2,"CK,C6,C3,C2;S10,SJ,SQ,S5;D4,D5,D8,DA;S7,S3,DQ,S2;D3,DJ,D9,D6;S4,C10,S6,S9;C8,CQ,CA,C4;CJ,C7,H10,C5;H7,H6,H5,SA;H9,HK,H4,D2;H3,H2,HJ,SK;HQ,H8,S8,D10;DK,HA,C9,D7"
1569982493,2,1,2,"C5,CK,C4,C2;S7,SK,SJ,S2;S8,S5,S10,SA;S3,S6,D3,SQ;CJ,CQ,C10,C9;DA,C6,D2,D8;D9,C7,D6,D10;D4,HK,H10,DQ;C8,HA,CA,C3;H9,HQ,D7,H7;H8,DJ,H5,H6;H4,DK,D5,H3;HJ,S9,S4,H2"
1569982493,2,26,2,"CJ,CK,C5,C2;D2,DQ,D6,D7;DA,S3,D4,D9;S5,SJ,S10,SK;D5,S8,D10,DK;C10,C3,C7,D8;C9,CQ,CA,S9;S4,HA,SQ,SA;HK,HQ,HJ,H7;DJ,H10,H6,S2;H9,H5,H4,H2;D3,H8,C8,C6;S7,H3,C4,S6"
1569982493,2,0,2,"CK,CJ,C6,C2;S10,S7,S6,SA;C8,C3,DQ,C10;D4,D7,D8,D5;DK,DJ,DA,D6;S5,C5,S4,SQ;H2,CQ,H9,H6;S8,C7,S3,HK;H8,C4,H4,H7;SJ,CA,S2,H3;SK,D9,D2,HJ;S9,D3,D10,HA;HQ,C9,H10,H5"
