1571051478,2,0,0,"C8,C7,CJ,C2;C3,CQ,C9,C10;D3,DQ,D4,D7;SK,S8,S2,S3;C5,C4,C6,CK;D6,D9,D10,DA;D2,D5,DK,D8;HA,S7,S9,S5;HK,HJ,SQ,CA;H7,H3,H9,H6;S4,S6,H10,SJ;H8,SA,H2,HQ;H5,S10,H4,DJ"
1571051478,2,1,0,"C8,C4,CJ,C2;S7,S3,SJ,SQ;C5,CA,H10,CK;H2,H3,HA,H7;SK,S2,S5,S4;D9,D5,D6,DQ;DJ,C9,CQ,C7;C10,D3,S10,S6;DK,H9,H6,HQ;SA,HJ,H4,HK;S8,DA,D10,S9;D4,C6,H5,H8;D7,D8,D2,C3"
1571051478,2,0,0,"C6,CA,C3,C2;D9,D4,D2,D5;SQ,SA,S10,S7;HJ,C7,C9,C10;H4,H5,C5,C4;D6,D7,D8,D3;H2,HA,S2,H7;S5,S6,H8,S8;DQ,HK,CQ,CJ;C8,DK,H6,HQ;S9,DJ,D10,DA;S3,SK,H3,H10;S4,SJ,H9,CK"
1571051478,2,0,0,"CA,C8,C4,C2;D8,DQ,DA,DJ;S6,S10,S7,SA;SJ,S9,SQ,S3;D7,D2,D10,DK;C7,CQ,C3,C9;C6,CK,C5,C10;S8,S5,S2,SK;D9,D4,D3,D5;H7,H5,H9,HJ;H4,H10,H8,HK;S4,H3,HQ,HA;D6,CJ,H2,H6"
