1570962552,3,12,0,"C4,C3,C5,C2;S2,S7,S3,SJ;SQ,SA,S10,S5;D5,DK,D4,D6;DJ,D3,D9,D8;D2,DA,C7,S4;H10,S6,S8,S9;HK,H7,H3,H8;D7,CA,CQ,CK;D10,CJ,HQ,C6;DQ,H2,SK,C8;HA,H6,H4,H9;HJ,H5,C9,C10"
1570962552,3,0,0,"C3,CK,C7,C2;S9,SA,SJ,S6;DJ,D4,D9,D8;D7,D5,D2,D10;S2,S10,SQ,SK;CA,C5,CJ,C10;D3,DQ,DK,H10;H7,HJ,H6,H2;C9,S7,C4,C6;S8,S3,S4,CQ;D6,DA,HQ,H5;H4,H3,H8,HK;H9,C8,HA,S5"
1570962552,3,7,0,"C10,C4,C7,C2;S9,SJ,S7,S5;D2,DJ,D3,DA;CK,C5,C8,CA;S8,S3,S6,S4;CQ,C6,C9,CJ;DK,D4,D6,D5;C3,HQ,H10,H5;DQ,D10,D9,D7;HA,H4,H8,H7;H6,HK,SA,H3;H9,S10,SQ,S2;H2,HJ,D8,SK"
1570962552,3,0,0,"C7,C3,CK,C2;S4,SJ,S6,S9;C6,C4,CJ,CA;DQ,C9,HJ,C10;D8,C5,D6,C8;S5,SA,S8,S7;H6,HA,H8,H9;H7,SK,H10,H5;D4,H2,D10,HQ;DK,D5,DA,D3;D2,S2,S10,SQ;D7,H4,H3,S3;DJ,D9,HK,CQ"
1570962552,3,1,0,"C6,CA,C9,C2;D4,D10,D3,D7;SJ,S3,HK,S8;DK,DQ,D5,D9;CJ,C5,H2,CK;S10,SQ,DA,SK;CQ,C8,D8,C4;S2,SA,H7,S5;H8,H4,H5,HA;H3,H9,HQ,H10;S7,H6,D6,HJ;S4,S9,DJ,S6;C10,D2,C7,C3"
1570962552,3,22,0,"C3,CQ,CJ,C2;D4,D2,D9,DQ;C6,C8,C10,C7;D8,D7,D10,D3;D6,C9,DA,DJ;SK,SQ,S7,S9;S4,SJ,S5,S2;C4,CA,D5,C5;S6,H3,S10,S3;HK,HJ,H5,CK;H9,H8,H6,H2;S8,HQ,H7,DK;SA,HA,H4,H10"
1570962552,3,2,0,"C6,CQ,C3,C2;C8,CK,C5,CJ;S3,SJ,S10,SA;S5,S8,SQ,S9;D8,D6,DQ,D7;C10,C7,H3,C4;D3,D5,H7,D9;DA,D10,H4,DJ;C9,H2,S2,CA;H10,S6,S4,SK;D2,H9,HK,DK;HQ,H5,HA,D4;H8,S7,HJ,H6"
1570962552,3,8,0,"C7,C5,C6,C2;S10,C8,C3,CK;SJ,SK,S3,S4;HQ,C4,CA,C9;HA,H10,HK,H7;D9,D10,D3,D7;S6,S8,SA,S7;D4,DJ,DK,D5;HJ,H8,H9,H5;D8,CJ,DA,C10;H2,H3,H4,H6;D2,S2,S5,DQ;S9,SQ,CQ,D6"
1570962552,3,4,0,"C10,CQ,C8,C2;S6,S2,S10,S5;DQ,S7,SK,S8;C3,CK,C7,CA;C4,C5,CJ,C9;D9,DK,D7,DJ;D5,S9,HQ,C6;H5,SA,S3,S4;HK,HJ,H7,H10;D3,D4,H4,DA;D6,H8,HA,H6;D8,H9,SQ,H3;D2,SJ,H2,D10"
